Pathways	Ontology - direct parents of entity	Ontology - pathway type
PWY-5526	Chlorophyll-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // Tetrapyrrole-Biosynthesis
PWY-6164	3-Dehydroquinate-Biosynthesis	Carboxylate-Biosynthesis
PWY-5806	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis
PWY-6407	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5305	APOCAROTENOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5162	CARBOXYLATES-DEG	CARBOXYLATES-DEG
PWY-8532	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY0-1261	Anhydromuropeptides-Recycling	Other-Degradation
PWY-6772	Hydrogen-Production	Energy-Metabolism
THREONINE-DEG2-PWY	THREONINE-DEG	Amino-Acid-Degradation
PWY0-1334	AEROBIC-RESPIRATION // Electron-Transfer	Energy-Metabolism
PWY-5759	TRITERPENOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7250	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis
PWY-7752	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7951	AROMATIC-COMPOUNDS-DEGRADATION	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6789	Glycan-Pathways // Xylan-Degradation	Glycan-Pathways // Polymer-Degradation // Carbohydrates-Degradation
PWY-7376	Cobyrinate-diamide-Biosynthesis	Cofactor-Biosynthesis
PWY-6200	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG
DHGLUCONATE-PYR-CAT-PWY	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation
PWY-7238	Sucrose-Biosynthesis	Carbohydrates-Biosynthesis
SULFMETII-PWY	Assimilatory-Sulfate-Reduction	Noncarbon-Nutrients
PWY-6087	Chlorocatechol-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG
PWY-7938	Isorenieratene-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5647	2-Nirobenzoate-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways
PWY-7085	AMINE-DEG	AMINE-DEG
P184-PWY	Protocatechuate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION
MENAQUINONESYN-PWY	Menaquinone-Biosynthesis	Cofactor-Biosynthesis
PWY-6050	Sulfur-Metabolism	Noncarbon-Nutrients
